"DISTANCE";"DURATION";"PROVIDER";"ROUTEID";"TIMESTAMP"
14685;691;"Here";1;"2016-03-05 12:07:32"
14677;734;"GoogleMaps";1;"2016-03-05 12:07:32"
14677;729;"GoogleMaps";1;"2016-03-05 12:12:31"
14685;681;"Here";1;"2016-03-05 12:12:31"
14685;693;"Here";1;"2016-03-05 12:17:31"
14677;731;"GoogleMaps";1;"2016-03-05 12:17:31"
14677;735;"GoogleMaps";1;"2016-03-05 12:22:31"
14685;684;"Here";1;"2016-03-05 12:22:31"
14677;724;"GoogleMaps";1;"2016-03-05 12:27:31"
14685;688;"Here";1;"2016-03-05 12:27:31"
14677;717;"GoogleMaps";1;"2016-03-05 12:32:31"
14685;720;"Here";1;"2016-03-05 12:32:31"
14677;729;"GoogleMaps";1;"2016-03-05 12:37:31"
14685;707;"Here";1;"2016-03-05 12:37:31"
14685;690;"Here";1;"2016-03-05 12:42:31"
14677;727;"GoogleMaps";1;"2016-03-05 12:42:31"
14677;722;"GoogleMaps";1;"2016-03-05 12:47:31"
14685;703;"Here";1;"2016-03-05 12:47:31"
14677;719;"GoogleMaps";1;"2016-03-05 12:52:31"
14685;723;"Here";1;"2016-03-05 12:52:31"
14685;697;"Here";1;"2016-03-05 12:57:31"
14677;719;"GoogleMaps";1;"2016-03-05 12:57:31"
14677;706;"GoogleMaps";1;"2016-03-05 13:02:31"
14685;699;"Here";1;"2016-03-05 13:02:31"
14677;722;"GoogleMaps";1;"2016-03-05 13:07:31"
14685;690;"Here";1;"2016-03-05 13:07:31"
14685;686;"Here";1;"2016-03-05 13:12:31"
14677;727;"GoogleMaps";1;"2016-03-05 13:12:31"
14685;683;"Here";1;"2016-03-05 13:17:31"
14677;714;"GoogleMaps";1;"2016-03-05 13:17:31"
14685;698;"Here";1;"2016-03-05 13:22:31"
14677;712;"GoogleMaps";1;"2016-03-05 13:22:31"
14685;690;"Here";1;"2016-03-05 13:27:31"
14677;711;"GoogleMaps";1;"2016-03-05 13:27:31"
14685;684;"Here";1;"2016-03-05 13:32:31"
14677;709;"GoogleMaps";1;"2016-03-05 13:32:31"
14677;709;"GoogleMaps";1;"2016-03-05 13:37:31"
14685;680;"Here";1;"2016-03-05 13:37:31"
14685;688;"Here";1;"2016-03-05 13:42:31"
14677;708;"GoogleMaps";1;"2016-03-05 13:42:31"
14685;689;"Here";1;"2016-03-05 13:47:31"
14677;714;"GoogleMaps";1;"2016-03-05 13:47:31"
14685;697;"Here";1;"2016-03-05 13:52:31"
14677;719;"GoogleMaps";1;"2016-03-05 13:52:31"
14677;717;"GoogleMaps";1;"2016-03-05 13:57:31"
14685;678;"Here";1;"2016-03-05 13:57:31"
14677;735;"GoogleMaps";1;"2016-03-05 14:02:31"
14685;697;"Here";1;"2016-03-05 14:02:31"
14677;735;"GoogleMaps";1;"2016-03-05 14:07:31"
14685;703;"Here";1;"2016-03-05 14:07:31"
14685;692;"Here";1;"2016-03-05 14:12:31"
14677;734;"GoogleMaps";1;"2016-03-05 14:12:31"
14685;685;"Here";1;"2016-03-05 14:17:31"
14677;721;"GoogleMaps";1;"2016-03-05 14:17:31"
14677;722;"GoogleMaps";1;"2016-03-05 14:22:31"
14685;682;"Here";1;"2016-03-05 14:22:31"
14677;719;"GoogleMaps";1;"2016-03-05 14:27:31"
14685;679;"Here";1;"2016-03-05 14:27:31"
14677;722;"GoogleMaps";1;"2016-03-05 14:32:31"
14685;674;"Here";1;"2016-03-05 14:32:31"
14677;719;"GoogleMaps";1;"2016-03-05 14:37:31"
14685;674;"Here";1;"2016-03-05 14:37:31"
14685;697;"Here";1;"2016-03-05 14:42:31"
14677;721;"GoogleMaps";1;"2016-03-05 14:42:31"
14685;690;"Here";1;"2016-03-05 14:47:31"
14677;725;"GoogleMaps";1;"2016-03-05 14:47:31"
14677;723;"GoogleMaps";1;"2016-03-05 14:52:31"
14685;683;"Here";1;"2016-03-05 14:52:31"
14677;717;"GoogleMaps";1;"2016-03-05 14:57:31"
14685;679;"Here";1;"2016-03-05 14:57:31"
14685;677;"Here";1;"2016-03-05 15:02:31"
14677;710;"GoogleMaps";1;"2016-03-05 15:02:31"
