Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
09/02/16,08:15,12:15,School,Projectwerk,Uitlegsessie bachelorproef,,
10/02/16,17:00,17:45,Thuis,Analyse,Oplijsten Software backlog,,
11/02/16,13:30,17:45,School,Projectwerk,Bespreking structuur project,,Opstellen use-case en ontwerp klassen en algemene structuur deelstukken project
16/02/16,08:30,12:15,School,Projectwerk,Aanmaken project en overleg structuur,,en bezoek klant
16/02/16,19:00,20:00,Thuis,Projectwerk,Onderzoeken API van Here,,
18/02/16,10:30,11:00,School,Presentatie,presentaties jobinfo,,
18/02/16,12:45,17:00,School,Projectwerk,Lessen Pollefliet en jobbeurs en definieren interfaces,12,
20/02/16,16:00,18:00,Thuis,Projectwerk,Testen uitlezen JSON van Here-API (nog niet gepusht),6,
21/02/16,17:45,18:40,Thuis,Projectwerk,Here provider finaliseren,6,
23/02/16,08:15,12:30,School,Projectwerk,HereSourceAdapter toevoegen aan project en bespreken problemen,6,
25/02/16,13:30,18:00,School,Projectwerk,Excepties toevoegen aan adapters en mail opstellen,,
27/02/16,13:00,15:30,Thuis,Projectwerk,Basis maken voor verslag sprint 1 in latex,,
